"sample","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"TCGA-FG-A713-01A-11R-A32Q-07",0.0584072687813758,0,0,0.483307430771879,0,0.231445686369138,0,0,0.00491363623011958,0,0.221925977847488
"TCGA-HT-7480-01A-11R-2090-07",0.0461788533112356,0,0,0.138382195277068,0,0.182252005120378,0,0,0.0138078838974302,0.149004767295316,0.470374295098571
"TCGA-HT-7481-01A-11R-2027-07",0.0532678328742016,0,0,0.188371105840299,0,0.165363892223746,0,0,0.0161553589374921,0.144750427264491,0.43209138285977
"TCGA-HT-7605-01A-11R-2090-07",0.0457524639404201,0,0,0.203545061163754,0,0.192979444979959,0,0,0,0.139158451968658,0.41856457794721
"TCGA-HT-7607-01A-11R-2090-07",0.0662554778347957,0,0,0.442243033656335,0,0.203669854729079,0,0,0,0.0452365345976474,0.242595099182143
"TCGA-HT-7616-01A-11R-2256-07",0.044306557753939,0.0199111339734996,0.0769868406460147,0,0,0.0987110002301813,0,0,0.0305552777386644,0.152449396589232,0.577079793068469
"TCGA-HT-7620-01A-11R-2256-07",0.0444939910509252,0,0,0.216160050702572,0,0.114207128089421,0,0,0.0114298811319245,0.114671755125974,0.499037193899184
"TCGA-HT-7677-01A-11R-2256-07",0.040235394829226,0,0,0.045330000752425,0,0.143781857114898,0,0,0.012524181935691,0.207198590555617,0.550929974812143
"TCGA-HT-7681-01A-11R-2403-07",0.0432812381475281,0,0,0.137834932489818,0,0.210477394791366,0,0,0,0.18327873630723,0.425127698264058
"TCGA-HT-7687-01A-11R-2256-07",0.0619520226663951,0,0,0.147447022659138,0,0.170598056427747,0,0,0.0476526610449202,0.117298493560196,0.455051743641603
"TCGA-HT-7692-01A-12R-2256-07",0.0273172381515194,0,0,0.0842820219076412,0,0.18018242579674,0,0,0.0356697319244974,0.147161989405565,0.525386592814037
"TCGA-HT-7694-01A-11R-2256-07",0.0727906647190247,0,0,0.462446541625234,0,0.183024944135188,0,0,9.36478472838002e-06,0.0107426993432211,0.270985785392603
"TCGA-HT-7695-01A-11R-2256-07",0.0676148212488777,0,0,0.235442408928525,0,0.196242421168309,0,0,0,0.135036176539992,0.365664172114296
"TCGA-HT-7856-01A-11R-2403-07",0.0593855492537403,0,0,0.4314768878674,0,0.251383855507916,0,0,0.0147389698000672,0.00910762827813796,0.233907109292739
"TCGA-HT-7874-01A-11R-2403-07",0.0692328433697095,0,0,0.46289303619883,0,0.209863053744734,0,0,0.00184304048198482,0.00632700619897171,0.249841020005771
"TCGA-HT-7875-01A-11R-2403-07",0.0428526660844721,0,0,0.064000695159919,0,0.203750192167814,0,0,0,0.189131174335106,0.50026527225269
"TCGA-HT-7877-01A-11R-2403-07",0.0492860877336556,0,0,0.19212969793011,0,0.232836848501222,0,0,0,0.114241604849849,0.411505760985163
"TCGA-HT-8010-01A-11R-2403-07",0.0407256159572505,0,0,0.150530932576456,0,0.247971340275517,0,0,0,0.147859729604475,0.412912381586302
"TCGA-HT-8105-01A-11R-2404-07",0.0570633620913933,0,0,0.188705468366985,0,0.148575211221065,0,0,0.0459425445614535,0.0726576561131023,0.487055757646001
"TCGA-HT-8109-01A-11R-2404-07",0.059018728959672,0,0,0.265431154730119,0,0.195871257815691,0,0,0.0087869877551764,0.122071813035753,0.348820057703588
"TCGA-HT-A4DV-01A-11R-A26U-07",0.0398587452882538,0,0,0.212085116780004,0,0.178235398416042,0,0,0,0.126545805317645,0.443274934198056
"TCGA-HT-A5R9-01A-11R-A28M-07",0.0438829636144211,0,0,0.0988194915380614,0,0.102457385674818,0,0,0.0490675344395956,0.0969679978055683,0.608804626927536
"TCGA-HT-A619-01A-11R-A29R-07",0.0528194596708196,0,0,0.117661966701336,0,0.105933564624606,0,0,0.0575965403236665,0.0824193488980667,0.583569119781505
"TCGA-HT-A74K-01A-11R-A32Q-07",0.0384142076461079,0,0.0204044149440944,0.132325543989922,0,0.0979852849867591,0,0,0.00181068538893325,0.0679802847227652,0.641079578321418
"TCGA-HW-7486-01A-11R-2027-07",0.0416180996361794,0,0,0.23030661052011,0,0.14093773018799,0,0,0.00110394699607807,0.157534713312173,0.42849889934747
"TCGA-HW-7487-01A-11R-2027-07",0.0682983264827561,0,0,0.329052235918479,0,0.182680370665324,0,0,0.0183291786830726,0.0350363304993834,0.366603557750984
"TCGA-HW-7491-01A-11R-2027-07",0.0421399880118843,0,0,0.0615799227427492,0,0.127836697341978,0,0,0.0362218265464355,0.159872208868051,0.572349356488902
"TCGA-HW-7495-01A-11R-2027-07",0.0477770877404455,0,0,0.296041715805431,0,0.221103463422787,0,0,0,0.0897219416803993,0.345355791350937
"TCGA-HW-8322-01A-11R-2404-07",0.055238721169468,0,0,0.103891061736899,0,0.144245673508615,0,0,0.0215331825190229,0.112971586011326,0.562119775054669
"TCGA-HW-A5KJ-01A-12R-A27Q-07",0.0271870749908465,0,0,0.143051924816662,0,0.132269283022462,0,0,0.061814780561423,0.106531039302124,0.529145897306483
"TCGA-IK-8125-01A-11R-2256-07",0.0516130384104046,0,0,0.125770519088218,0,0.173288585499167,0,0,0.0109132016982665,0.193764208971594,0.444650446332351
"TCGA-P5-A5ET-01A-11R-A27Q-07",0.027734670215284,0,0,0.0525322352157989,0,0.216101231079537,0,0,0,0.206597430032417,0.497034433456963
"TCGA-P5-A5EX-01A-12R-A28M-07",0.0205802934560053,0.0103467278498014,0.0809782465372484,0,0,0.0777541624183558,0,0,0,0.173416036237679,0.63692453350091
"TCGA-P5-A5F0-01A-11R-A28M-07",0.0569748426211941,0,0,0.24216608785816,0,0.204460893508661,0,0,0.0285299454815454,0.103830592491331,0.364037638039108
"TCGA-P5-A737-01A-11R-A32Q-07",0.0398453743582688,0,0,0.0507573075202918,0,0.172180743238638,0,0,0.0244583433725711,0.162032889885981,0.550725341624249
"TCGA-P5-A77W-01A-11R-A32Q-07",0.0513365141378837,0,0,0.080891548225655,0,0.0749816963392418,0,0,0.0325403655132551,0.0994666165419227,0.660783259242042
"TCGA-P5-A77X-01A-11R-A32Q-07",0.042984565617684,0,0,0.0576427912439597,0,0.229514820021298,0,0,0,0.192637548300223,0.477220274816835
"TCGA-QH-A65R-01A-21R-A31N-07",0.0356860224527706,0,0,0.169261448327773,0,0.140641894800918,0,0,0.0323563514211488,0.0540935646755926,0.567960718321797
"TCGA-QH-A65X-01A-11R-A32Q-07",0.0327572912930586,0,0,0.0772241237694766,0,0.118503732431174,0,0,0.00211775914221481,0.128771085589517,0.640626007774559
"TCGA-QH-A65Z-01A-11R-A29R-07",0.037592324104474,0,0,0.0457405290038158,0,0.150760086469827,0,0,0.000510422808219745,0.174399541979247,0.590997095634416
"TCGA-QH-A6CU-01A-11R-A31N-07",0.0107565415009515,0,0.00268581590677192,0.140035758267358,0,0.184973359030394,0,0,0,0.115375037040589,0.546173488253936
"TCGA-QH-A6CY-01A-11R-A32Q-07",0.0546873522068145,0,0,0.246636067009325,0,0.188963216188701,0,0,0.000633445740669649,0.100412372931796,0.408667545922694
