"","Myeloid","Glioma","Oligo","Pericytes","TCells","Endo"
"TCGA-HT-A619-01A-11R-A29R-07",3.63368558951331e-08,0.921020295700557,0.00117648657703601,0.00568576111025629,0.000239898755376069,0.0718775215199186
"TCGA-HT-A74K-01A-11R-A32Q-07",0.0378132052715787,0.467669287183546,0.234443070878102,0.0632978131694364,0.0132216146047343,0.183555008892603
"TCGA-HW-7486-01A-11R-2027-07",0.00967706611768492,0.0134824751338929,0.914913763188166,0.00354155206004543,9.37396923721376e-06,0.0583757695309731
"TCGA-HW-7487-01A-11R-2027-07",0.00219640576021496,0.50490928607253,0.405728421376944,0.0159350500239975,2.56327930349149e-08,0.0712308111335206
"TCGA-HW-7491-01A-11R-2027-07",0.000864292784923353,0.854232758676348,0.0870727065106921,0.0103930806098096,2.00986501416343e-06,0.0474351515532129
"TCGA-HW-7495-01A-11R-2027-07",0.0020976492034463,0.160313971199611,0.755637934440403,0.0138267403724688,3.49706381596581e-08,0.0681236698134323
"TCGA-HW-8322-01A-11R-2404-07",0.00150532085212516,0.807014265759954,0.132148924925787,0.015581293343274,0.000515498110082471,0.0432346970087778
"TCGA-HW-A5KJ-01A-12R-A27Q-07",0.000179603759724135,0.658780514856249,0.0247021713427924,0.0544407850568839,0.032597202538457,0.229299722445894
"TCGA-IK-8125-01A-11R-2256-07",0.00904008410363332,0.731410270109034,0.136867891438187,0.0444394994215624,0.000222541739564681,0.0780197131880194
"TCGA-P5-A5ET-01A-11R-A27Q-07",0.00145693544211012,0.468412918835614,0.411859850416914,0.0589810714771705,1.3013118445862e-09,0.0592892225268799
"TCGA-P5-A5EX-01A-12R-A28M-07",0.126644710132089,0.255964216490784,0.286877789371005,0.104243035753684,0.00230429973615995,0.223965948516278
"TCGA-P5-A5F0-01A-11R-A28M-07",0.00152962910687577,0.823386747662725,0.120449286407036,0.0135647806981382,0.000307526899849035,0.040762029225376
"TCGA-P5-A737-01A-11R-A32Q-07",2.22604588226405e-08,0.80738510845042,0.110547333700594,0.0104313496348979,7.74970805290794e-08,0.071636108456549
"TCGA-P5-A77W-01A-11R-A32Q-07",0.00161432890012538,0.870453596816378,0.0474837221141185,0.00585559689108454,0.00319668498009313,0.0713960702982004
"TCGA-P5-A77X-01A-11R-A32Q-07",0.00178478909601269,0.635563088931143,0.253656080289617,0.0619851664814891,1.29697362555037e-07,0.0470107455043757
"TCGA-QH-A65R-01A-21R-A31N-07",0.0114016245151176,0.635932205044371,0.0583557629951639,0.0293431860582537,0.00181037732381125,0.263156844063282
"TCGA-QH-A65X-01A-11R-A32Q-07",0.0152782652855252,0.680953355754015,0.00126403944506119,0.0587971528982298,0.0253560519407993,0.21835113467637
"TCGA-QH-A65Z-01A-11R-A29R-07",0.00200625374428798,0.64110474633527,0.255618242302502,0.0424230831820115,5.12462513818137e-09,0.0588476693113036
"TCGA-QH-A6CU-01A-11R-A31N-07",0.0607909165143988,0.0563775655793272,0.700188703122266,0.0744951172906113,1.37274852029661e-07,0.108147560218545
"TCGA-QH-A6CY-01A-11R-A32Q-07",0.00203026982751349,0.334173009911108,0.553121249162238,0.0558889422245871,1.62100557784392e-08,0.0547865126644982
"TCGA-QH-A6CZ-01A-11R-A32Q-07",0.00186499573039423,0.786953984904801,0.148676230264955,0.0156528177689144,1.55788668312243e-08,0.0468519557520689
"TCGA-QH-A6X5-01A-12R-A32Q-07",0.0114893417660475,0.143755691460716,0.711234042743282,0.0603292829798844,6.08409356765862e-08,0.0731915802091345
"TCGA-QH-A6X8-01A-12R-A32Q-07",0.00161998714067514,0.537117603701917,0.402799838973457,0.0145901573022395,7.54332518125191e-05,0.0437969796298999
"TCGA-QH-A86X-01A-11R-A36H-07",0.00245519781264052,0.728739640852395,0.135815301724905,0.0660497070855973,0.000364008897175316,0.0665761436272869
"TCGA-R8-A6MK-01A-11R-A32Q-07",0.00922802698234269,0.48561480741616,0.323960456669689,0.0863720366113507,2.96754950716953e-07,0.0948243755655071
"TCGA-R8-A6ML-01A-11R-A32Q-07",3.19219179139818e-07,0.693833231392951,0.189739350093112,0.0228017569453893,6.84388484528569e-09,0.0936253355054843
"TCGA-R8-A6MO-01A-11R-A33Z-07",0.0201763047333432,0.37245077611369,0.506329274975952,0.017188735191352,0.000130827440624568,0.0837240815450381
"TCGA-RY-A83X-01A-11R-A36H-07",0.00157049478237049,0.471242743858804,0.40932745678931,0.0446068693355443,2.63432359586402e-08,0.0732524088907345
"TCGA-RY-A847-01A-11R-A36H-07",0.0381182532719201,0.571349299890345,0.238876344947371,0.0535667251650514,6.18529378123585e-08,0.0980893148723744
"TCGA-S9-A6TW-01A-12R-A32Q-07",0.0157052433673999,0.639536631232167,0.0816967563919706,0.0487672870749052,0.00173565499020584,0.212558426943352
"TCGA-S9-A6U2-01A-21R-A33Z-07",0.0031423735505299,0.706357916866806,0.127027156823445,0.0779077775947299,1.79370484150491e-08,0.0855647572274406
"TCGA-S9-A6UB-01A-21R-A33Z-07",0.00175653459809771,0.739375472151605,0.211495309621508,0.00546310256361186,8.82753416046945e-09,0.0419095722376426
"TCGA-S9-A6WE-01A-12R-A33Z-07",0.0118846097445709,0.728189089360563,0.14748329075338,0.034032035696157,7.41530811266669e-08,0.078410900292248
"TCGA-S9-A6WL-01A-21R-A33Z-07",0.011725345251261,0.666103811815439,0.15279798661653,0.0526949126462658,2.14539808138389e-08,0.116677922216524
"TCGA-S9-A6WN-01A-12R-A33Z-07",0.116273673155576,0.229233009042261,0.37102876422855,0.0868095969880108,0.0010292997286009,0.195625656857001
"TCGA-S9-A6WP-01A-12R-A34F-07",0.0415411631492949,0.550466300380421,0.302075881553355,0.0135188212216722,0.000471092234514371,0.0919267414607434
"TCGA-S9-A7IQ-01A-21R-A34F-07",0.00287899658541668,0.574788195113009,0.360652402095078,0.0141632075334352,1.4499423792487e-08,0.0475171841736375
"TCGA-S9-A7IY-01A-11R-A34F-07",0.0545666992360177,0.346366764265328,0.386581601671245,0.0782835035320455,2.9601590166077e-07,0.134201135279462
"TCGA-S9-A7J2-01A-11R-A34F-07",0.00246333235157747,0.813999460664638,0.0612971354459703,0.0479960484826687,1.52911757431674e-06,0.0742424939375713
