"sample","h-microglia","Glioma","i-microglia","Oligo","Pericytes","Myeloid","s-mac 1","AP-microglia","MDSC","a-microglia","Endo","CD8 TCells","TCells","s-mac 2","Proliferating","otherCells"
"TCGA-DB-A64U-01A-11R-A29R-07",6.02030809866339e-05,0.146794035783385,0.000106971654659579,0.415411925314515,0.032439094963128,9.97355716007428e-05,9.93801687400909e-05,7.38620918220228e-07,1.96238185542577e-05,0.000145366512563954,9.13356420848314e-06,3.53916473824815e-05,0.000613807916234008,0.000192909090762889,0.0001114924095737,0.403860189882787
"TCGA-DB-A64V-01A-11R-A29R-07",2.24899234535453e-05,0.0557972734533094,2.315757740727e-05,0.387402635613159,0.11563978217889,0.000113426045058007,0.0361987613933399,1.96039965610489e-05,9.98587041120888e-07,6.90195406293173e-05,0.00536005514082781,2.76763540665168e-07,0.00157771800780123,0.000127915980905439,7.74165389053891e-05,0.397569469259171
"TCGA-DB-A64W-01A-11R-A29R-07",7.60495684888465e-06,0.434882941365963,1.51521017466506e-07,0.0417736586800184,0.0189987852060758,8.23713865370271e-05,0.00025778381099222,5.21414810768905e-06,2.97043183880071e-05,0.000212046907127913,0.000201940830580291,4.16452794346068e-05,0.000489224594633982,8.9783357996857e-05,0.000338383537910594,0.502588760098368
"TCGA-DB-A75K-01A-11R-A32Q-07",3.16114108346736e-05,0.179815566475091,1.89304298082052e-06,0.178902415196552,0.0870316485358919,8.64625024586006e-09,1.31800518421026e-05,5.25459480955171e-05,0.00019184937967458,7.21526997512455e-05,0.0579884217472181,1.33923712874892e-05,0.00120680827739346,8.88333343531362e-05,4.0689798508718e-06,0.494585603902932
"TCGA-DH-5141-01A-01R-1470-07",0.000253705802598498,0.31332773389031,0.000108738699441543,0.151819853053234,0.176509483342681,6.65364626513783e-05,2.26936835564373e-05,0.000253443458023467,0.000398194173538648,3.60959165671661e-06,0.00127946973894407,1.31120387408006e-09,0.00173791962756356,7.1626127579829e-05,2.59600137605811e-05,0.354121031023257
"TCGA-DH-5144-01A-01R-1470-07",0.000215251804067419,0.598133832216667,0.00018746241402679,0.0014184913256899,0.0230028046293478,6.51949006652944e-06,0.000265074634941019,0.00114850451973918,0.000148114681574433,5.29872108928353e-05,0.000243703875610658,8.51344587114108e-08,0.0131905903001481,0.0001803356849362,0.000156304852337547,0.361649937225496
"TCGA-DH-A66F-01A-11R-A29R-07",0.000218479984875264,0.19799777124901,1.64040995380118e-05,0.118028222752127,0.227592270915589,9.25978049746926e-05,1.91348714106915e-05,2.50439535971424e-06,0.000127044800572192,3.45015586798762e-05,0.00057552306332742,3.32323093740504e-05,2.30297288644716e-05,7.19841403563441e-05,7.35802273570187e-05,0.455093718098584
"TCGA-DH-A7UR-01A-11R-A33Z-07",4.09320339316985e-08,0.431562612986428,1.05475741814685e-05,0.00457976801581102,0.0927913764136258,1.58271523308202e-05,6.10044452617437e-06,6.4737576404527e-06,6.89969804554961e-06,5.87462294523198e-05,0.0163652223102205,6.02641152007176e-06,0.000305439597747185,2.53126789648476e-05,5.33399827192268e-06,0.4542542717992
"TCGA-DU-5849-01A-11R-1708-07",0.00012479176593801,0.226517963516037,4.29726384235918e-08,0.184182756404219,0.115635064199448,5.06513944375172e-05,9.08293723114375e-05,5.11791277896859e-05,2.13689380124322e-05,2.75064029799466e-05,0.00024161402193494,8.55154843385188e-07,0.0010665015961278,5.77031217208814e-05,7.48281550816302e-05,0.47185634385648
"TCGA-DU-5874-01A-11R-1708-07",0.000205906300872528,0.532871842908053,0.000117307543002003,0.000386652731893949,0.00615828076035712,0.000577289673332662,0.00019947873631798,0.000238943550919257,0.000344633577532319,1.55823034589842e-06,2.93664806258334e-05,4.25208318076966e-07,0.00111460921241219,9.74306744719882e-06,0.000101570588237303,0.457642391430333
"TCGA-DU-6394-01A-11R-1708-07",1.24977706317029e-07,0.390485108865353,9.05723119839498e-05,0.0492814353476973,0.046648439673967,0.0001318796882248,2.99653041894966e-05,1.57738050395409e-05,3.71325530951393e-05,0.000274141273932979,0.000705824237972853,7.92002684034944e-06,0.00183319280036082,0.000530317822607241,3.1371503263704e-06,0.509925034160702
"TCGA-DU-6410-01A-11R-1896-07",0.000252270136771833,0.618734436276201,0.000137745526705812,0.000733735713492935,0.000109691362991623,0.000482917998068038,0.000272933202546147,5.65187104342663e-05,0.000144893992165372,0.000455340948584141,0.000210310133229252,0.000269325545876247,3.24051560638572e-05,6.53227113093311e-05,9.10849105099447e-08,0.378042061500649
"TCGA-DU-7009-01A-11R-2027-07",3.67065925775747e-05,0.364118988863304,3.8843546242118e-05,0.195225372766164,0.0130163205278659,0.00019722614167632,3.55115280998982e-06,8.46514608855447e-05,8.22151264782324e-06,9.39176809053763e-05,2.79636994399378e-05,0.000172348029997241,0.00131932925138448,0.000113706272007761,1.59944807117187e-07,0.425542692557284
"TCGA-DU-7018-01A-11R-2027-07",5.38280254707955e-07,0.646754864674354,0.000107136041037035,0.000201799732142582,0.000853052294518887,0.000336472145734446,0.00407700923287672,2.1281828908483e-06,0.00143348299395918,0.00030675829711173,8.65321339568273e-06,0.001101300886391,0.00049359673579292,0.0020441061501331,0.000734239021606471,0.341544862117801
"TCGA-DU-7294-01A-11R-2027-07",1.35972527851317e-07,0.559603813419916,6.56586610111021e-05,0.0898980826229553,0.00174746801145809,0.000126573690699201,5.85189116987363e-05,2.97611606995729e-05,3.66920004740015e-05,0.000158908620252719,0.000284019154899356,7.43224459646716e-05,0.00620561779615643,0.000257702578506577,0.000324803110429954,0.341127921842351
"TCGA-DU-7300-01A-21R-2090-07",0.00023266146751319,0.308724233453495,0.000100716255973428,0.129368003786561,0.0863763935200525,0.000148441355617385,0.000347405805656084,2.32518738458149e-05,0.000155565804410712,5.02966833035544e-05,0.00108334624695552,1.92254518679019e-07,0.00339709774587897,6.49165055543784e-05,1.68465387386315e-07,0.469927308775276
"TCGA-DU-7302-01A-11R-2090-07",8.6843315928279e-05,0.307269564691125,1.59459199434826e-05,0.0666234740596384,0.0834128167265799,0.000576903446588991,0.000459361270747826,2.65657980528696e-06,5.64004874421115e-05,0.000194344901073574,7.69797757354486e-05,2.44633305490544e-06,0.00153487099809443,1.42717875423448e-07,5.15971581839757e-05,0.539635651618183
"TCGA-DU-8164-01A-11R-2256-07",0.000829102942037232,0.445754504081347,4.14252152644583e-05,0.0107849843762757,0.038190131310273,9.11072370657422e-09,1.77266032445108e-06,0.000379988970730296,1.88219985923326e-05,0.000192080989857065,9.96394683833417e-05,6.1391614700835e-05,0.00194148012150307,0.000201536597510751,0.000168693447671366,0.501334437094806
"TCGA-DU-8168-01A-11R-2256-07",9.46691219226991e-06,0.45305412540714,2.95593336824081e-07,0.00115523421183734,0.00016250593687745,2.3230646410086e-05,0.00016664549182437,0.000315805682051206,8.70242709795128e-05,0.000105704871141174,5.12760423116922e-06,0.00046373427985311,0.00473428003965384,0.000198078344228154,8.3464293362868e-05,0.53943527641488
"TCGA-DU-A6S2-01A-21R-A32Q-07",2.4370170001574e-05,0.197817845253589,1.58012527786909e-05,0.204244610022852,0.0648062131810139,0.000437905852664126,8.11357672308155e-05,0.000199805494958425,0.000398194000081183,0.00765897357807996,3.17064536266132e-05,1.67446347268223e-05,0.0249807317895715,2.33857331985209e-07,0.000398803488672602,0.49888692520282
"TCGA-DU-A6S3-01A-12R-A32Q-07",0.0016594715666624,0.503308123133464,2.8403329367622e-05,0.0526448167285035,0.0241159503481657,7.77775092597425e-05,1.46569217434743e-05,0.00100237403559147,1.55539797318361e-07,5.50658876712842e-05,0.000141556126854049,5.39707552720814e-05,0.000108632808714639,5.23842723216629e-06,0.000182388957535787,0.416601417924165
"TCGA-DU-A6S6-01A-21R-A32Q-07",8.08624931563982e-05,0.2905506050434,3.84471020078175e-05,0.04502082827348,0.105232313806694,1.61569172212046e-08,8.09086149184204e-05,0.000245321623610734,0.000100099011591399,7.05174447217545e-05,3.1278370406116e-05,1.55415302166321e-06,0.00220572708711888,2.98579026387357e-07,0.000108520845499299,0.55623270139443
"TCGA-DU-A6S8-01A-12R-A32Q-07",9.47418988532404e-07,0.486382978099825,0.000109227184613254,0.0781112314350153,0.0119820210227351,5.62623731825722e-07,2.55412054857249e-05,2.40230759485745e-05,2.67537667018596e-05,9.06524123099062e-05,8.18089323462174e-05,7.69880972232173e-05,8.4098736425444e-05,3.34874694336021e-05,2.5395263361372e-05,0.422944283255855
